#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
Dataset: Demographic and socio-economic,,,,,,,,
Indicator,,"GNI per capita, PPP (current international $)",,,,,,
Time,,2014,2015,2016,2017,2018,2019,2020
Country,,,,,,,,
Afghanistan,,2070,2110,2000,2090,2100,2190,..
Albania,,11360,11800,12280,12800,13530,14040,..
Algeria,,12710,11690,11510,11560,11620,11700,..
American Samoa,,..,..,..,..,..,..,..
Andorra,,..,..,..,..,..,..,..
Angola,,7680,6960,6730,6860,6550,6320,..
Anguilla,,..,..,..,..,..,..,..
Antigua and Barbuda,,18110,17720,18570,18780,20490,21380,..
Argentina,,19250,19700,19860,23000,22470,22080,..
Armenia,,10490,10370,10950,12540,13250,14470,..
Aruba,,35090,35190,35660,36300,..,..,..
Australia,,45650,45340,46220,47160,48660,50540,..
Austria,,48860,49370,52680,53660,56530,58940,..
Azerbaijan,,16850,14370,13430,13510,13790,14370,..
Bahamas,,31850,32280,32900,35250,35920,37350,..
Bahrain,,48600,43030,42280,45030,44700,44330,..
Bangladesh,,3590,3790,4070,4340,4750,5190,..
Barbados,,14540,14810,15220,15080,15320,15740,..
Belarus,,18360,17240,16900,17580,18650,19100,..
Belgium,,45870,46850,49060,50900,53180,55370,..
Belize,,6580,6840,6730,6620,6560,6560,..
Benin,,2820,2860,2980,3010,3200,3390,..
Bermuda,,71390,74460,78530,85190,86090,86450,..
Bhutan,,8050,8820,9560,10170,10580,11210,..
Bolivia (Plurinational State of),,6690,6890,7360,8170,8650,8910,..
Bosnia and Herzegovina,,11530,12090,13090,13700,14870,15810,..
Botswana,,15830,15060,15840,15900,16530,17100,..
Brazil,,15430,14470,13950,14250,14360,14680,..
British Virgin Islands,,..,..,..,..,..,..,..
Brunei Darussalam,,81300,65690,60420,64620,62220,66460,..
Bulgaria,,17410,17770,19400,20870,22190,24180,..
Burkina Faso,,1620,1640,1810,1970,2080,2180,..
Burundi,,780,840,800,770,780,790,..
Cambodia,,3020,3180,3450,3680,3970,4310,..
Cameroon,,3160,3210,3350,3490,3620,3720,..
Canada,,45010,43990,45900,47770,49430,49990,..
Cabo Verde,,5460,5770,6100,6410,6860,7320,..
Cayman Islands,,36380,38100,40050,41790,..,..,..
Central African Republic,,730,800,860,960,1030,1060,..
Chad,,1600,1760,1630,1570,1590,1620,..
Channel Islands,,..,..,..,..,..,..,..
Chile,,21910,22010,22710,23460,23730,25190,..
China,,12570,12930,13520,14330,15520,16810,..
"China, Hong Kong Special Administrative Region",,55910,57450,58660,62450,65500,65800,..
"China, Macao Special Administrative Region",,132020,107640,107330,116080,123320,..,..
Colombia,,12910,13080,13660,13910,14460,15140,..
Comoros,,2720,2720,2880,3050,3160,3200,..
Congo,,5980,4640,3740,4120,3390,3010,..
Cook Islands,,..,..,..,..,..,..,..
Costa Rica,,14960,15860,17720,18680,19290,19830,..
Côte d'Ivoire,,3050,4550,4620,4690,4960,5290,..
Croatia,,21600,22860,24130,26410,28140,29790,..
Cuba,,..,..,..,..,..,..,..
Curaçao,,25120,25070,24680,25690,26520,26620,..
Cyprus,,29280,31610,34300,36810,38930,39850,36840
Czechia,,30270,31570,33660,36630,38800,40360,..
Democratic People's Republic of Korea,,..,..,..,..,..,..,..
Democratic Republic of the Congo,,780,840,940,1030,1080,1110,..
Denmark,,49640,50550,53250,56070,58760,62120,..
Djibouti,,4490,4850,4950,5100,5520,5610,..
Dominica,,10560,10690,11630,11050,11840,12380,..
Dominican Republic,,12820,14130,15420,15940,17320,18270,..
Ecuador,,11540,10870,10830,11360,11530,11450,..
Egypt,,10640,11310,11040,10800,11350,11820,..
El Salvador,,6900,7240,7620,7980,8360,8770,..
Equatorial Guinea,,22910,18130,15850,16600,15980,14070,..
Eritrea,,..,..,..,..,..,..,..
Estonia,,28310,28750,30870,33040,35620,37940,..
Eswatini,,8420,8470,8240,7840,8130,8080,..
Ethiopia,,1510,1650,1870,2010,2140,2300,..
Faeroe Islands,,..,..,..,..,..,..,..
Falkland Islands (Malvinas),,..,..,..,..,..,..,..
Fiji,,10820,11660,11940,12370,13260,13090,..
