#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
"Dataset: Science,technology and innovation",,,,,,,,
Indicator,,GERD - Total (in '000 local currency),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,
Albania,,..,..,..,..,..,..,..
Algeria,,..,..,..,..,100860040.7,..,..
American Samoa,,..,..,..,..,..,..,..
Angola,,..,..,..,5344252.145,..,..,..
Argentina,,20708900,27198050,37074020,45925610,59304450,72093710,..
Armenia,,10120900,11661700,12609900,11809100,12680500,11357600,..
Australia,,33471500,..,31179000,..,33062000,..,..
Austria,,9571282,10275180,10499146,11135560,11289781,12246010,12799700
Azerbaijan,,122000,123800,120900,124700,129900,147500,..
Bahrain,,..,12699.35517,..,..,..,..,..
Bangladesh,,..,..,..,..,..,..,..
Belarus,,437230.5,407311.9,449543.1,475344,617684,739340,..
Belgium,,9156953,9551244,10118200,10852674,11867981,12709638,..
Benin,,..,..,..,..,..,..,..
Bermuda,,12692,12240,12981,..,..,16512.272,..
Bolivia (Plurinational State of),,..,..,..,..,..,..,..
Bosnia and Herzegovina,,86046.335,70381.152,62494.336,64576.461,62904.269,65164.302,..
Botswana,,672450,..,..,..,..,..,..
Brazil,,63748603,73468203.1,80501765.2,79208513.7,72016004.47,79940871.89,..
Brunei Darussalam,,..,..,..,..,..,50809.97694,..
Bulgaria,,521682,664829,850457,734274,760234,828904,..
Burkina Faso,,..,13575300,..,..,50263000,..,..
Burundi,,..,..,..,..,..,11539600,..
Cambodia,,..,..,86811092,..,..,..,..
Cameroon,,..,..,..,..,..,..,..
Canada,,32441000,34196000,33703000,35016000,35732000,34756000,35541000
Cabo Verde,,..,..,..,..,..,..,..
Central African Republic,,..,..,..,..,..,..,..
Chad,,..,..,..,17981650,..,..,..
Chile,,535924384,557298984,607462845,626174380,640077870,..,..
China,,1184659795,1301562968,1416988461,1567674841,1760612949,1967792937,..
"China, Hong Kong Special Administrative Region",,15613300,16727300,18270700,19713100,21280400,24478400,..
"China, Macao Special Administrative Region",,210669.353,384832.8067,490950,846516.582,695937.548,896092.176,..
Colombia,,1935942000,2331665000,2331606000,2305813000,2235488160,2313144410,..
Congo,,..,..,..,..,..,..,..
Costa Rica,,138144720,155763000,131746300,142122670,146258950,133771530,..
Côte d'Ivoire,,..,..,..,20009667.36,..,..,..
Croatia,,2688004,2594604,2853680,3031074,3161000,3722129,..
Cuba,,366200,335500,373400,312700,417100,537180,..
Cyprus,,87469,89521,85286,98815,110214,115800,..
Czechia,,77853386,85104467,88663390,80109157,90386025,102753730,..
Democratic Republic of the Congo,,..,..,142683288.8,..,..,..,..
Denmark,,57320700,57733000,62210000,65191000,66344000,68118000,..
Ecuador,,361398.236,450306.465,..,..,..,..,..
Egypt,,11887000,13557258.27,17561440,19195479.79,23575615,32121640,..
El Salvador,,14046.37,21186.87,33630,35060,45156.9,43016,..
Estonia,,326045,286736,302766,270340,304320,365650,..
Eswatini,,..,..,138560.2508,..,..,..,..
Ethiopia,,5242607.978,..,..,..,5028637.186,..,..
Faeroe Islands,,..,..,..,..,..,..,..
Finland,,6684100,6512100,6070900,5926100,6173200,6437900,..
France,,47362050,48926860,49839130,49650923,50619332,51768559,..
Gabon,,..,..,..,..,..,..,..
Gambia,,..,..,..,..,..,55770.1,..
Georgia,,22464,53900,101560,102440,110150,125109.2,..
Germany,,79729508,84246766,88781819,92173556,99553616,104768000,..
Ghana,,..,..,..,..,..,..,..
Greece,,1465670,1488740,1703820,1754180,2038430,2174670,..
Greenland,,..,..,..,..,..,..,..
Guam,,..,..,..,..,..,..,..
Guatemala,,163071,131919,145850,116037,155579,162000,..
Guinea,,..,..,..,..,..,..,..
Honduras,,..,..,68910,..,217035.1,..,..
Hungary,,420100300,441092100,468389700,427191800,517258000,654163100,..
Iceland,,33342300,40395266,50408600,52999400,55061500,56900200,..
India,,793558900,874734400,954524400,1030992600,1138250300,1238477100,..
Indonesia,,8085259000,..,..,30427545808,32350756773,33583093534,..
Iran (Islamic Republic of),,25099963000,..,47668619000,..,1.27168E+11,..,..
Iraq,,..,102143038.6,78211638.47,73594235.05,101886449.3,115068754.8,..
Ireland,,2813140,2967212,3108450,3175760,..,3715000,..
Israel,,43281000,46230000,49704000,55267000,61241000,65743000,..
Italy,,20983100,21781275,22157000,23171612,23793650,24581681,..
Jamaica,,..,..,..,..,..,..,..
Japan,,16680069000,17472907000,17436052000,16911538000,17512261000,17919014000,..
Jordan,,..,..,..,196981.91,..,..,..
Kazakhstan,,61672657.9,66347600,69302900,66600100,68884200,72224600,..
Kenya,,..,..,..,..,..,..,..
Kuwait,,148933.329,197658.731,33302.5663,26396.17869,29436.56368,26495.541,..
Kyrgyzstan,,529881.5,502322.4,512429.2,529715.4,568000,575500,..
Lao People's Democratic Republic,,..,..,..,..,..,..,..
Latvia,,139500,162800,152300,110400,137900,186200,..
Lesotho,,..,..,15358.323,..,..,..,..
Libya,,..,..,..,..,..,..,..
Lithuania,,332426,376827,389670,327612,378906,426306,..
Luxembourg,,605731,629800,662300,690400,720700,727400,..
Madagascar,,..,3995400,..,4757600,5233360,..,..
Malawi,,..,..,..,..,..,..,..
Malaysia,,..,13971560,15058344.98,17685392.71,..,15060400,..
Mali,,..,..,24375866.2,..,26051013.94,..,..
Malta,,59055,60539,71491,58702,65928,70792,..
Mauritania,,..,..,..,..,..,27176,..
Mauritius,,..,..,..,..,1675000,1669531.454,..
Mexico,,69182632,76096799,79744619,78055097,71965466,73508186,..
Monaco,,..,..,..,..,..,..,..
Mongolia,,44571600,49655100,35808100,43903200,37590500,33107600,..
Montenegro,,12586,12559,13667.834,12833,15003,16981,..
Morocco,,..,..,..,..,..,..,..
Mozambique,,..,..,1996960,..,..,..,..
Myanmar,,..,..,..,..,28814807,..,..
Namibia,,..,471733.834,..,..,..,..,..
Nauru,,..,..,..,..,..,..,..
Nepal,,..,..,..,..,..,..,..
Netherlands,,12746047,13267860,13695788,14144403,14638000,16748200,..
New Zealand,,2685000,..,3136000,..,3894000,..,..
